Греческое слово;Перевод на русский;Пример использования на греческом - на русском
ο άνθρωπος;человек;Ο άνθρωπος χρειάζεται επικοινωνία και στήριξη. - Человек нуждается в общении и поддержке.
η γυναίκα;женщина;Η γυναίκα διαβάζει ένα βιβλίο στο πάρκο. - Женщина читает книгу в парке.
το παιδί;ребёнок;Το παιδί πίνει νερό μετά το παιχνίδι. - Ребёнок пьёт воду после игры.
ο άντρας;мужчина;Ο άντρας στη γωνία διαβάζει ένα βιβλίο. - Мужчина на углу читает книгу.
η μητέρα;мама;Η μητέρα μου εργάζεται στο νοσοκομείο. - Моя мама работает в больнице.
ο πατέρας;отец;Ο πατέρας μου έρχεται από τη δουλειά στις έξι. - Мой отец приходит с работы в шесть.
ο φίλος;друг;Ο φίλος μου έρχεται απόψε στο σπίτι. - Мой друг придёт сегодня вечером домой.
η φίλη;подруга;Η φίλη μου μένει κοντά στο πανεπιστήμιο. - Моя подруга живёт рядом с университетом.
ο γιος;сын;Ο γιος μου πηγαίνει στο σχολείο κάθε μέρα. - Мой сын ходит в школу каждый день.
η κόρη;дочь;Η κόρη μου πηγαίνει στο πανεπιστήμιο φέτος. - Моя дочь в этом году поступает в университет.
ο αδελφός;брат;Ο αδελφός μου μένει κοντά. - Мой брат живет рядом.
η αδελφή;сестра;Η αδελφή μου μένει στη Θεσσαλονίκη. - Моя сестра живёт в Салониках.
η οικογένεια;семья;Η οικογένεια συναντήθηκε για το κυριακάτικο τραπέζι. - Семья собралась на воскресный обед.
το σπίτι;дом;Το σπίτι είναι κοντά στο πάρκο. - Дом находится рядом с парком.
το διαμέρισμα;квартира;Το διαμέρισμα στον τρίτο όροφο έχει μεγάλο μπαλκόνι. - Квартира на третьем этаже имеет большой балкон.
το δωμάτιο;комната;Το δωμάτιο είναι καθαρό και φωτεινό. - Комната чистая и светлая.
η κουζίνα;кухня;Η κουζίνα είναι μικρή αλλά λειτουργική. - Кухня маленькая, но функциональная.
το μπάνιο;ванная;Το μπάνιο είναι μικρό αλλά καθαρό. - Ванная небольшая, но чистая.
το κρεβάτι;кровать;Το κρεβάτι είναι άνετο και καθαρό. - Кровать удобная и чистая.
